1,37,13,Corki,Bandle City,3150,3150,13.125
1,40,26,Heimerdinger,Bandle City,3150,3150,13.125
1,43,52,Poppy,Bandle City,450,6300,26.25
1,75,58,Rumble,Bandle City,4800,1350,5.625
1,2,78,Teemo,Bandle City,1350,4800,20
1,15,98,Tristana,Bandle City,1350,4800,20
1,92,100,Ziggs,Bandle City,6300,450,1.875
2,87,15,Fizz,Bilgewater,4800,1350,15
2,30,50,Gangplank,Bilgewater,3150,3150,35
2,85,65,Graves,Bilgewater,4800,1350,15
2,59,100,Miss Fortune,Bilgewater,3150,3150,35
3,94,2,Fiora,Demacia,6300,450,1.401869159
3,57,6,Galio,Demacia,4800,1350,4.205607477
3,50,26,Garen,Demacia,450,6300,19.62616822
3,71,30,Jarvan IV,Demacia,4800,1350,4.205607477
3,115,31,Lucian,Demacia,6300,450,1.401869159
3,62,46,Lux,Demacia,1350,4800,14.95327103
3,43,66,Poppy,Demacia,450,6300,19.62616822
3,111,67,Quinn,Demacia,6300,450,1.401869159
3,86,71,Shyvanna,Demacia,4800,1350,4.205607477
3,60,81,Sona,Demacia,3150,3150,9.813084112
3,76,85,Vayne,Demacia,4800,1350,4.205607477
3,55,100,Xin Zhao,Demacia,1350,4800,14.95327103
4,26,10,Anivia,Freljord,3150,3150,9.051724138
4,12,28,Ashe,Freljord,450,6300,18.10344828
4,119,29,Braum,Freljord,6300,450,1.293103448
4,44,38,Gragas,Freljord,3150,3150,9.051724138
4,113,39,Lissandra,Freljord,6300,450,1.293103448
4,6,57,Nunu,Freljord,450,6300,18.10344828
4,53,66,Olaf,Freljord,3150,3150,9.051724138
4,91,67,Sejuani,Freljord,6300,450,1.293103448
4,65,71,Trundle,Freljord,4800,1350,3.879310345
4,22,85,Tryndamere,Freljord,1350,4800,13.79310345
4,41,99,Udyr,Freljord,1350,4800,13.79310345
4,88,100,Volibear,Freljord,6300,450,1.293103448
5,89,2,Ahri,Ionia,6300,450,1.293103448
5,64,9,Irelia,Ionia,4800,1350,6.976744186
5,69,25,Karma,Ionia,3150,3150,16.27906977
5,73,32,Lee Sin,Ionia,4800,1350,6.976744186
5,8,65,Master Yi,Ionia,450,6300,32.55813953
5,1,98,Soraka,Ionia,450,6300,32.55813953
5,97,100,Varus,Ionia,6300,450,2.325581395
6,66,3,Cassiopeia,Noxus,4800,1350,3.272727273
6,98,4,Darius,Noxus,6300,450,1.090909091
6,35,16,Dr. Mundo,Noxus,1350,4800,11.63636364
6,99,17,Draven,Noxus,6300,450,1.090909091
6,36,24,Katarina,Noxus,3150,3150,7.636363636
6,63,32,Leblanc,Noxus,3150,3150,7.636363636
6,7,44,Morgana,Noxus,1350,4800,11.63636364
6,18,56,Singed,Noxus,1350,4800,11.63636364
6,4,68,Sion,Noxus,1350,4800,11.63636364
6,61,71,Swain,Noxus,4800,1350,3.272727273
6,82,74,Talon,Noxus,4800,1350,3.272727273
6,58,82,Urgot,Noxus,3150,3150,7.636363636
6,56,85,Vladimir,Noxus,4800,1350,3.272727273
6,17,100,Warwick,Noxus,450,6300,15.27272727
7,67,12,Caitlyn,Piltover,4800,1350,11.53846154
7,37,39,Corki,Piltover,3150,3150,26.92307692
7,47,51,Ezreal,Piltover,4800,1350,11.53846154
7,40,78,Heimerdinger,Piltover,3150,3150,26.92307692
7,100,81,Jayce,Piltover,6300,450,3.846153846
7,77,93,Orianna,Piltover,4800,1350,11.53846154
7,109,97,Vi,Piltover,6300,450,3.846153846
7,92,100,Ziggs,Piltover,6300,450,3.846153846
8,35,21,Dr. Mundo,Zaun,1350,4800,20.77922078
8,18,42,Singed,Zaun,1350,4800,20.77922078
8,20,56,Twitch,Zaun,3150,3150,13.63636364
8,58,70,Urgot,Zaun,3150,3150,13.63636364
8,90,71,Viktor,Zaun,6300,450,1.948051948
8,17,98,Warwick,Zaun,450,6300,27.27272727
8,112,100,Zac,Zaun,6300,450,1.948051948
